lkll..kjo
1;0;0;1;1;5;4;4;2;2;6;0
2;0;1;1;5;2;3;4;5;3;3;0
3;0;0;1;1;1;1;1;1;1;1;0
4;1;1;8;6;8;6;4;3;8;7;1
5;1;1;9;6;6;7;3;7;6;8;1
6;1;1;8;6;8;6;4;3;8;7;1
7;1;1;9;6;6;4;3;7;6;8;1
8;0;1;8;6;8;6;4;3;8;7;1
9;1;1;4;6;6;5;7;3;6;8;1
10;1;1;8;8;6;6;4;3;8;7;1
11;1;1;9;7;6;7;3;4;6;2;1
12;0;0;6;7;4;4;4;2;2;6;0
13;0;0;3;4;2;3;2;4;3;3;0
14;0;0;1;5;1;4;1;3;1;5;0
15;0;0;3;5;2;3;4;5;3;3;0
16;0;0;1;4;1;4;2;3;3;6;0
17;0;0;6;5;2;3;4;4;3;3;0
18;0;0;1;2;5;3;1;3;4;3;0
19;0;0;7;5;2;5;4;6;3;3;0
20;0;0;1;3;1;5;1;3;4;5;0
21;1;1;8;6;8;6;4;3;8;7;1
22;1;1;9;6;6;4;3;7;6;8;1
23;0;1;8;6;8;6;4;3;8;7;1
24;1;1;4;6;6;5;7;3;6;8;1
25;1;1;8;8;6;6;4;3;8;7;1
26;1;1;9;7;6;7;3;4;6;2;1
27;0;0;6;7;4;4;4;2;2;6;0
28;0;0;3;4;2;3;2;4;3;3;0
29;0;0;1;5;1;4;1;3;1;5;0
30;0;0;3;5;2;3;4;5;3;3;0
31;0;0;1;4;1;4;2;3;3;6;0
32;0;0;6;5;2;3;4;4;3;3;0
33;0;0;1;2;5;3;1;3;4;3;0
34;0;0;7;5;2;5;4;6;3;3;0
35;0;0;1;3;1;5;1;3;4;5;0
36;1;1;8;6;8;6;4;3;8;7;1
37;1;1;9;6;6;4;3;7;6;8;1
38;0;1;8;6;8;6;4;3;8;7;1
39;1;1;4;6;6;5;7;3;6;8;1
40;1;1;8;8;6;6;4;3;8;7;1
41;1;1;9;7;6;7;3;4;6;2;1
42;0;0;6;7;4;4;4;2;2;6;0
43;0;0;3;4;2;3;2;4;3;3;0
44;0;0;1;5;1;4;1;3;1;5;0
45;0;0;3;5;2;3;4;5;3;3;0
46;0;0;1;4;1;4;2;3;3;6;0
47;0;0;6;5;2;3;4;4;3;3;0
48;0;0;1;2;5;3;1;3;4;3;0
49;0;0;7;5;2;5;4;6;3;3;0
50;0;0;1;3;1;5;1;3;4;5;0
51;1;1;8;6;8;6;4;3;8;7;1
52;1;1;9;6;6;4;3;7;6;8;1
53;0;1;8;6;8;6;4;3;8;7;1
54;1;1;4;6;6;5;7;3;6;8;1
55;1;1;8;8;6;6;4;3;8;7;1
56;1;1;9;7;6;7;3;4;6;2;1
57;0;0;6;7;4;4;4;2;2;6;0
58;0;0;3;4;2;3;2;4;3;3;0
59;0;0;1;5;1;4;1;3;1;5;0
60;0;0;3;5;2;3;4;5;3;3;0
61;0;0;1;4;1;4;2;3;3;6;0
62;0;0;6;5;2;3;4;4;3;3;0
63;0;0;1;2;5;3;1;3;4;3;0
64;0;0;7;5;2;5;4;6;3;3;0
65;0;0;1;3;1;5;1;3;4;5;0
66;1;1;8;6;8;6;4;3;8;7;1
67;1;1;9;6;6;4;3;7;6;8;1
68;0;1;8;6;8;6;4;3;8;7;1
69;1;1;4;6;6;5;7;3;6;8;1
70;1;1;8;8;6;6;4;3;8;7;1
71;1;1;9;7;6;7;3;4;6;2;1
72;0;0;6;7;4;4;4;2;2;6;0
73;0;0;3;4;2;3;2;4;3;3;0
74;0;0;1;5;1;4;1;3;1;5;0
75;0;0;3;5;2;3;4;5;3;3;0
76;0;0;1;4;1;4;2;3;3;6;0
77;0;0;6;5;2;3;4;4;3;3;0
78;0;0;1;2;5;3;1;3;4;3;0
79;0;0;7;5;2;5;4;6;3;3;0
80;0;0;1;3;1;5;1;3;4;5;0
81;1;1;8;6;8;6;4;3;8;7;1
82;1;1;9;6;6;4;3;7;6;8;1
83;0;1;8;6;8;6;4;3;8;7;1
84;1;1;4;6;6;5;7;3;6;8;1
85;1;1;8;8;6;6;4;3;8;7;1
86;1;1;9;7;6;7;3;4;6;2;1
87;0;0;6;7;4;4;4;2;2;6;0
88;0;0;3;4;2;3;2;4;3;3;0
89;0;0;1;5;1;4;1;3;1;5;0
90;0;0;3;5;2;3;4;5;3;3;0
91;0;0;1;4;1;4;2;3;3;6;0
92;0;0;6;5;2;3;4;4;3;3;0
93;0;0;1;2;5;3;1;3;4;3;0
94;0;0;7;5;2;5;4;6;3;3;0
95;0;0;1;3;1;5;1;3;4;5;0
96;0;0;1;4;1;4;2;3;3;6;0
97;0;0;6;5;2;3;4;4;3;3;0
98;0;0;1;2;5;3;1;3;4;3;0
99;0;0;7;5;2;5;4;6;3;3;0
100;0;0;1;3;1;5;1;3;4;5;0
